Z30_REC_KEY	Z30_BARCODE	Z30_SUB_LIBRARY	Z30_MATERIAL	Z30_ITEM_STATUS	Z30_OPEN_DATE	Z30_UPDATE_DATE	Z30_CATALOGER	Z30_DATE_LAST_RETURN	Z30_HOUR_LAST_RETURN	Z30_IP_LAST_RETURN	Z30_NO_LOANS	Z30_ALPHA	Z30_COLLECTION	Z30_CALL_NO_TYPE	Z30_CALL_NO	Z30_CALL_NO_KEY	Z30_CALL_NO_2_TYPE	Z30_CALL_NO_2	Z30_CALL_NO_2_KEY	Z30_DESCRIPTION	Z30_NOTE_OPAC	Z30_NOTE_CIRCULATION	Z30_NOTE_INTERNAL	Z30_ORDER_NUMBER	Z30_INVENTORY_NUMBER	Z30_INVENTORY_NUMBER_DATE	Z30_LAST_SHELF_REPORT_DATE	Z30_PRICE	Z30_SHELF_REPORT_NUMBER	Z30_ON_SHELF_DATE	Z30_ON_SHELF_SEQ	Z30_REC_KEY_2	Z30_REC_KEY_3	Z30_PAGES	Z30_ISSUE_DATE	Z30_EXPECTED_ARRIVAL_DATE	Z30_ARRIVAL_DATE	Z30_ITEM_STATISTIC	Z30_ITEM_PROCESS_STATUS	Z30_COPY_ID	Z30_HOL_DOC_NUMBER_X	Z30_TEMP_LOCATION	Z30_ENUMERATION_A	Z30_ENUMERATION_B	Z30_ENUMERATION_C	Z30_ENUMERATION_D	Z30_ENUMERATION_E	Z30_ENUMERATION_F	Z30_ENUMERATION_G	Z30_ENUMERATION_H	Z30_CHRONOLOGICAL_I	Z30_CHRONOLOGICAL_J	Z30_CHRONOLOGICAL_K	Z30_CHRONOLOGICAL_L	Z30_CHRONOLOGICAL_M	Z30_SUPP_INDEX_O	Z30_85X_TYPE	Z30_DEPOSITORY_ID	Z30_LINKING_NUMBER	Z30_GAP_INDICATOR	Z30_MAINTENANCE_COUNT	Z30_PROCESS_STATUS_DATE	Z30_UPD_TIME_STAMP	Z30_IP_LAST_RETURN_V6	SYSNO
000000950000010	950-10                        	REN  	BOOK 	02	20060723	20060723	CONV      	0	0		0	L	ACDPM	0	$$hPQ6353$$i.M35513 1991											0	0			0	0	0000000000000000000	                                   00000	REN-10009541	0	00000000	00000000				000000167	N																	0		0	0	200001011200000		
000000951000010	951-10                        	REN  	BOOK 	02	20060723	20060723	CONV      	0	0		0	L	ACDPM	0	$$hHC258.B76$$iS23 1991											0	0			0	0	0000000000000000000	                                   00000	REN-10009553	0	00000000	00000000				000000167	N																	0		0	0	200001011200000		
